cod_ativo
ITSA4.SA
CMIG4.SA
ELET3.SA
EGIE3.SA
EQTL3.SA
TAEE3.SA
TRPL4.SA
OIBR3.SA
IRBR3.SA
MGLU3.SA
CYRE3.SA
BBAS3.SA
ENBR3.SA
SAPR4.SA
FLRY3.SA
DIRR3.SA
